Label,Description,USL,LSL,Function,Argument,Comments
Dim212,Right_Drive_fHam_T,0.001,-0.019,AVERAGE,0-3-6-9,
Dim212,Right_Drive_fHam_M,0.001,-0.019,AVERAGE,1-4-7-10,
Dim212,Right_Drive_fHam_B,0.001,-0.019,AVERAGE,2-5-8-11,
Dim213,Right_Drive_fHav_M,0.022,-100,EQUAL,36,
Dim214,Right_Drive_Cam_M,0.01,0,AVERAGE,24-27-30-33,
DIM215,Right_Drive_Ca1_M,100,0,EQUAL,24,
DIM215,Right_Drive_Ca5_M,100,0,EQUAL,27,
DIM215,Right_Drive_Ca10_M,100,0,EQUAL,30,
DIM215,Right_Drive_Ca14_M,100,0,EQUAL,33,
Dim216,Right_Drive_ffa1_M,0.015,-100,EQUAL,12,
Dim216,Right_Drive_ffa5_M,0.015,-100,EQUAL,15,
Dim216,Right_Drive_ffa10_M,0.015,-100,EQUAL,18,
Dim216,Right_Drive_ffa14_M,0.015,-100,EQUAL,21,
Dim217,Left_Coast_fHam_T,0.005,-0.023,AVERAGE,37-40-43-46,
Dim217,Left_Coast_fHam_M,0.005,-0.023,AVERAGE,38-41-44-47,
Dim217,Left_Coast_fHam_B,0.005,-0.023,AVERAGE,39-42-45-48,
Dim218,Left_Coast_fHav_M,0.022,-100,EQUAL,73,
Dim219,Left_Coast_Cam_M,0.01,-100,AVERAGE,61-64-67-70,
Dim220,Left_Coast_Ca1_M,100,0,EQUAL,61,
Dim220,Left_Coast_Ca5_M,100,0,EQUAL,64,
Dim220,Left_Coast_Ca10_M,100,0,EQUAL,67,
Dim220,Left_Coast_Ca14_M,100,0,EQUAL,70,
Dim221,Left_Coast_ffa1_M,0.015,-100,EQUAL,49,
Dim221,Left_Coast_ffa5_M,0.015,-100,EQUAL,52,
Dim221,Left_Coast_ffa10_M,0.015,-100,EQUAL,55,
Dim221,Left_Coast_ffa14_M,0.015,-100,EQUAL,58,
Dim226,Right_Drive_fHbm,0.018,-0.008,AVERAGE,74-75-76-77,
Dim227,Right_Drive_fHbv,0.033,-100,EQUAL,78,
Dim228,Right_Drive_Cbm,0.01,-0.004,AVERAGE,83-84-85-86,
Dim229,Right_Drive_Cb1,100,-0.004,EQUAL,83,
Dim229,Right_Drive_Cb5,100,-0.004,EQUAL,84,
Dim229,Right_Drive_Cb10,100,-0.004,EQUAL,85,
Dim229,Right_Drive_Cb14,100,-0.004,EQUAL,86,
Dim230,Right_Drive_ffb1,0.018,-100,EQUAL,79,
Dim230,Right_Drive_ffb5,0.018,-100,EQUAL,80,
Dim230,Right_Drive_ffb10,0.018,-100,EQUAL,81,
Dim230,Right_Drive_ffb14,0.018,-100,EQUAL,82,
Dim231,Left_Coast_fHbm,0.018,-0.008,AVERAGE,87-88-89-90,
Dim232,Left_Coast_fHbv,0.033,-100,EQUAL,91,
Dim233,Left_Coast_Cbm,0.013,-0.007,AVERAGE,96-97-98-99,
Dim234,Left_Coast_Cb1,100,-0.007,EQUAL,96,
Dim234,Left_Coast_Cb5,100,-0.007,EQUAL,97,
Dim234,Left_Coast_Cb10,100,-0.007,EQUAL,98,
Dim234,Left_Coast_Cb14,100,-0.007,EQUAL,99,
Dim235,Left_Coast_ffb1,0.018,-100,EQUAL,92,
Dim235,Left_Coast_ffb5,0.018,-100,EQUAL,93,
Dim235,Left_Coast_ffb10,0.018,-100,EQUAL,94,
Dim235,Left_Coast_ffb14,0.018,-100,EQUAL,95,
,Individual pitch error (fp) (pos: 29.98 -12.50; Right-Drive 8),0.013,0,EQUAL,100,
,Cumulative pitch error (Fp) (pos: 29.98 -12.50; Right-Drive 8),0.042,0,EQUAL,101,
,Individual pitch error (fp) (pos: 29.98 -12.50; Left-Coast 8),0.013,0,EQUAL,102,
,Cumulative pitch error (Fp) (pos: 29.98 -12.50; Left-Coast 8),0.042,0,EQUAL,103,
,Radial runout (Fr) (PID: 8),0.055,0,EQUAL,104,
Dim209,Tooth thickness (Ss) (PID: 8),4.844,4.788,EQUAL,105,
Dim210,Dimension over 2-balls (MdK) (PID: 8),53.449,53.351,EQUAL,106,
Dim208,Tip diameter (dk) (-12.500; 9),51.95,51.65,EQUAL,107,
,Tip diameter (dk) max (-12.500; 9),51.95,51.65,EQUAL,108,
,Tip diameter (dk) min (-12.500; 9),51.95,51.65,EQUAL,109,
Dim207,Root diameter (df) (-12.500; 10),39.7,39.4,EQUAL,110,
,Root diameter (df) max (-12.500; 10),39.7,39.4,EQUAL,111,
,Root diameter (df) min (-12.500; 10),39.7,39.4,EQUAL,112,
