Label,Description,USL,LSL,Function,Argument,Comments
Dim212,Right_Drive_fHam_T,0.003,-0.017,AVERAGE,0-3-6-9,
Dim212,Right_Drive_fHam_M,0.003,-0.017,AVERAGE,1-4-7-10,
Dim212,Right_Drive_fHam_B,0.003,-0.017,AVERAGE,2-5-8-11,
Dim213,Right_Drive_fHav_M,0.022,-100,EQUAL,36,
Dim214,Right_Drive_Cam_M,0.01,0,AVERAGE,25-28-31-34,
DIM215,Right_Drive_Ca1_M,100,0,EQUAL,25,
DIM215,Right_Drive_Ca5_M,100,0,EQUAL,28,
DIM215,Right_Drive_Ca10_M,100,0,EQUAL,31,
DIM215,Right_Drive_Ca14_M,100,0,EQUAL,34,
Dim216,Right_Drive_ffa1_M,0.015,-100,EQUAL,13,
Dim216,Right_Drive_ffa5_M,0.015,-100,EQUAL,16,
Dim216,Right_Drive_ffa10_M,0.015,-100,EQUAL,19,
Dim216,Right_Drive_ffa14_M,0.015,-100,EQUAL,22,
Dim217,Left_Coast_fHam_T,0.003,-0.017,AVERAGE,37-40-43-46,
Dim217,Left_Coast_fHam_M,0.003,-0.017,AVERAGE,38-41-44-47,
Dim217,Left_Coast_fHam_B,0.003,-0.017,AVERAGE,39-42-45-48,
Dim218,Left_Coast_fHav_M,0.022,-100,EQUAL,73,
Dim219,Left_Coast_Cam_M,0.01,-100,AVERAGE,62-65-68-71,
Dim220,Left_Coast_Ca1_M,100,0,EQUAL,62,
Dim220,Left_Coast_Ca5_M,100,0,EQUAL,65,
Dim220,Left_Coast_Ca10_M,100,0,EQUAL,68,
Dim220,Left_Coast_Ca14_M,100,0,EQUAL,71,
Dim221,Left_Coast_ffa1_M,0.015,-100,EQUAL,50,
Dim221,Left_Coast_ffa5_M,0.015,-100,EQUAL,53,
Dim221,Left_Coast_ffa10_M,0.015,-100,EQUAL,56,
Dim221,Left_Coast_ffa14_M,0.015,-100,EQUAL,59,
Dim226,Right_Drive_fHbm,0.017,-0.009,AVERAGE,75-77-78-79,
Dim227,Right_Drive_fHbv,0.033,-100,EQUAL,80,
Dim228,Right_Drive_Cbm,0.01,-0.004,AVERAGE,88-90-91-92,
Dim229,Right_Drive_Cb1,100,-0.004,EQUAL,88,
Dim229,Right_Drive_Cb5,100,-0.004,EQUAL,90,
Dim229,Right_Drive_Cb10,100,-0.004,EQUAL,91,
Dim229,Right_Drive_Cb14,100,-0.004,EQUAL,92,
Dim230,Right_Drive_ffb1,0.018,-100,EQUAL,82,
Dim230,Right_Drive_ffb5,0.018,-100,EQUAL,84,
Dim230,Right_Drive_ffb10,0.018,-100,EQUAL,85,
Dim230,Right_Drive_ffb14,0.018,-100,EQUAL,86,
Dim231,Left_Coast_fHbm,0.017,-0.009,AVERAGE,94-96-97-98,
Dim232,Left_Coast_fHbv,0.033,-100,EQUAL,99,
Dim233,Left_Coast_Cbm,0.01,-0.004,AVERAGE,107-109-110-111,
Dim234,Left_Coast_Cb1,100,-0.004,EQUAL,107,
Dim234,Left_Coast_Cb5,100,-0.004,EQUAL,109,
Dim234,Left_Coast_Cb10,100,-0.004,EQUAL,110,
Dim234,Left_Coast_Cb14,100,-0.004,EQUAL,111,
Dim235,Left_Coast_ffb1,0.018,-100,EQUAL,101,
Dim235,Left_Coast_ffb5,0.018,-100,EQUAL,103,
Dim235,Left_Coast_ffb10,0.018,-100,EQUAL,104,
Dim235,Left_Coast_ffb14,0.018,-100,EQUAL,105,
,Individual pitch error (fp) (pos: 29.98 -12.50; Right-Drive 8),0.024,0,EQUAL,112,
,Cumulative pitch error (Fp) (pos: 29.98 -12.50; Right-Drive 8),0.07,0,EQUAL,113,
,Individual pitch error (fp) (pos: 29.98 -12.50; Left-Coast 8),0.024,0,EQUAL,114,
,Cumulative pitch error (Fp) (pos: 29.98 -12.50; Left-Coast 8),0.07,0,EQUAL,115,
Dim236,Radial runout (Fr) (PID: 8),0.042,0,EQUAL,116,
,Dimension over 2-balls (MdK) (PID: 8),51.867,51.767,EQUAL,119,
Dim208,Tip diameter (dk) (-12.500; 9),47.8,47.5,EQUAL,120,
Dim208,Tip diameter (dk) max (-12.500; 9),47.8,47.5,EQUAL,121,
Dim208,Tip diameter (dk) min (-12.500; 9),47.8,47.5,EQUAL,122,
Dim207,Root diameter (df) (-12.500; 10),37.2,36.8,EQUAL,123,
Dim207,Root diameter (df) max (-12.500; 10),37.2,36.8,EQUAL,124,
Dim207,Root diameter (df) min (-12.500; 10),37.2,36.8,EQUAL,125,
